,price,brand,model,year,mileage,color,state
0,6300,toyota,cruiser,2008,274117,black,new jersey
1,2899,ford,se,2011,190552,silver,tennessee
2,5350,dodge,mpv,2018,39590,silver,georgia
3,25000,ford,door,2014,64146,blue,virginia
4,27700,chevrolet,1500,2018,6654,red,florida
5,5700,dodge,mpv,2018,45561,white,texas
6,7300,chevrolet,pk,2010,149050,black,georgia
7,13350,gmc,door,2017,23525,gray,california
8,14600,chevrolet,malibu,2018,9371,silver,florida
9,5250,ford,mpv,2017,63418,black,texas
10,10400,dodge,coupe,2009,107856,orange,georgia
11,12920,gmc,mpv,2017,39650,white,california
12,31900,chevrolet,1500,2018,22909,black,tennessee
13,5430,chrysler,wagon,2017,138650,gray,texas
14,20700,ford,door,2013,100757,black,virginia
15,12710,gmc,door,2017,25747,white,california
16,5200,kia,forte,2018,46194,blue,north carolina
17,16500,buick,encore,2018,20002,red,tennessee
18,5210,ford,mpv,2017,35714,white,texas
19,38100,ford,door,2013,54380,gray,virginia
20,12520,gmc,door,2017,30114,white,california
21,7300,kia,forte,2018,38823,black,north carolina
22,15000,chevrolet,door,2015,61578,black,ohio
23,6180,ford,mpv,2017,46010,blue,texas
24,20800,ford,door,2013,105510,silver,virginia
25,11900,gmc,door,2017,28040,silver,california
26,21500,kia,sorento,2020,11451,blue,north carolina
27,12000,buick,door,2014,31039,brown,ohio
28,4190,ford,doors,2017,44174,white,texas
29,13000,ford,chassis,2008,93698,white,tennessee
30,12710,gmc,door,2017,26364,silver,california
31,18500,infiniti,q70,2016,71967,gray,new york
32,29800,chevrolet,camaro,1973,46226,red,pennsylvania
33,5330,ford,mpv,2017,37792,no_color,texas
34,13000,ford,convertible,2003,58817,gray,virginia
35,11900,gmc,door,2017,27965,black,california
36,16600,mercedes-benz,vans,2016,110907,white,new york
37,19200,chevrolet,1500,2018,2430,white,tennessee
38,7320,ford,mpv,2017,32366,gold,texas
39,7000,ford,pk,2003,176567,white,tennessee
40,12710,gmc,door,2017,30049,white,california
41,16600,mercedes-benz,vans,2016,97983,white,new york
42,30500,chevrolet,1500,2018,30442,red,tennessee
43,6330,ford,mpv,2017,38123,red,texas
44,55000,ford,srw,2017,15273,black,pennsylvania
45,12520,gmc,door,2017,28972,black,california
46,16200,jeep,compass,2019,30061,red,north carolina
47,19000,chevrolet,malibu,2017,18414,white,tennessee
48,5580,dodge,mpv,2017,46829,gray,texas
49,54000,ford,srw,2017,26241,black,pennsylvania
50,12710,gmc,mpv,2017,39886,red,california
51,16000,jeep,compass,2019,31594,silver,north carolina
52,27000,buick,enclave,2017,32107,no_color,tennessee
53,7760,ford,mpv,2017,44794,gray,texas
54,19600,chrysler,300,2019,42648,gray,south carolina
55,12920,gmc,mpv,2017,39165,silver,california
56,20000,jeep,cherokee,2019,38355,charcoal,north carolina
57,18100,buick,door,2017,46766,silver,florida
58,23000,chrysler,pacifica,2020,2473,white,ohio
59,18500,chrysler,300,2019,38586,gray,south carolina
60,13490,gmc,door,2017,27842,white,california
61,20700,jeep,cherokee,2019,31156,white,north carolina
62,17800,chevrolet,door,2017,52435,black,florida
63,6650,ford,door,2017,29942,black,texas
64,29100,chrysler,pacifica,2019,25281,red,south carolina
65,12710,gmc,door,2017,32504,silver,california
66,21100,jeep,cherokee,2019,28649,silver,north carolina
67,18600,chevrolet,door,2017,35200,white,florida
68,4340,ford,door,2017,25602,silver,texas
69,19300,chrysler,300,2019,34801,gray,south carolina
70,12780,gmc,door,2017,31009,black,california
71,15800,jeep,compass,2019,35595,charcoal,north carolina
72,29400,bmw,x3,2017,23765,black,tennessee
73,4430,ford,door,2017,31792,black,texas
74,19400,chrysler,300,2019,33135,gray,south carolina
75,12520,gmc,door,2017,30636,red,california
76,15900,jeep,compass,2019,34502,red,north carolina
77,26400,buick,door,2017,25434,white,florida
78,4140,ford,door,2017,36732,black,texas
79,18300,chrysler,300,2019,41792,gray,south carolina
80,12520,gmc,door,2017,31992,black,california
81,17900,jeep,compass,2019,32501,red,north carolina
82,18300,chevrolet,camaro,2017,28395,black,florida
83,4640,ford,door,2017,36139,blue,texas
84,24000,ford,door,2016,84413,black,pennsylvania
85,13200,gmc,door,2017,33457,white,california
86,18000,jeep,compass,2019,29245,gray,north carolina
87,14900,chevrolet,equinox,2017,12783,silver,florida
88,4140,ford,door,2017,17617,white,texas
89,11500,ford,door,2016,36855,black,pennsylvania
90,9110,ford,door,2017,110316,white,texas
91,7350,chrysler,door,2015,88227,black,pennsylvania
92,24500,bmw,door,2017,17626,gray,michigan
93,9300,ford,door,2017,120353,white,texas
94,39800,dodge,challenger,2015,3641,white,pennsylvania
95,53500,bmw,m,2017,29355,blue,michigan
96,15110,ford,door,2017,39333,black,texas
97,34000,ford,door,2015,42930,white,pennsylvania
98,26502,chevrolet,colorado,2017,24993,black,michigan
99,5990,ford,mpv,2017,44929,black,texas
100,13600,ford,focus,2018,16971,black,south carolina
101,23605,cadillac,door,2017,35598,gray,michigan
102,10780,ford,mpv,2017,40455,white,texas
103,13800,ford,focus,2018,23164,white,south carolina
104,25201,cadillac,door,2017,19011,no_color,michigan
105,7070,ford,mpv,2017,45191,white,texas
106,8700,ford,focus,2018,21405,white,south carolina
107,18003,chevrolet,malibu,2017,19117,no_color,michigan
108,8530,ford,door,2017,42104,black,texas
109,23100,dodge,durango,2018,49496,white,south carolina
110,24500,cadillac,door,2017,32418,white,michigan
111,7000,ford,mpv,2017,29882,white,texas
112,17000,ford,escape,2018,34819,gold,south carolina
113,34002,chevrolet,1500,2017,31923,white,michigan
114,6980,ford,mpv,2017,29168,gray,texas
115,25000,dodge,charger,2018,28307,silver,michigan
116,20802,chevrolet,colorado,2017,33791,turquoise,michigan
117,9200,ford,door,2017,21770,black,texas
118,26500,chrysler,pacifica,2017,18375,gray,michigan
119,24802,chevrolet,colorado,2017,14158,gray,michigan
120,7070,ford,mpv,2017,30318,black,texas
121,28500,ford,door,2017,48086,red,south carolina
122,47500,cadillac,door,2017,26562,black,michigan
123,23500,ford,explorer,2017,57611,black,south carolina
124,23505,chevrolet,colorado,2017,47357,black,michigan
125,10940,ford,door,2017,84916,white,texas
126,32100,ford,f-150,2017,24521,gray,south carolina
127,53000,chevrolet,3500,2018,16105,black,washington
128,6830,ford,mpv,2017,35888,gold,texas
129,11900,dodge,caravan,2017,59537,gray,south carolina
130,26414,chevrolet,1500,2017,55222,black,michigan
131,4160,dodge,mpv,2018,32870,gray,florida
132,19405,chevrolet,door,2017,39687,silver,michigan
133,5690,dodge,mpv,2018,47085,silver,florida
134,25900,chrysler,van,2017,32224,silver,south carolina
135,24005,chevrolet,1500,2017,51293,beige,michigan
136,5090,dodge,mpv,2018,42989,gray,florida
137,19500,chrysler,300,2017,31311,gray,arizona
138,32012,chevrolet,1500,2017,46091,white,michigan
139,6800,dodge,dart,2016,49033,black,michigan
140,4260,dodge,mpv,2018,33957,gray,florida
141,0,dodge,van,2008,177948,orange,utah
142,31802,chevrolet,2500,2017,19845,silver,michigan
143,7210,dodge,doors,2018,38910,black,florida
144,0,dodge,door,2014,123660,silver,utah
145,28402,chevrolet,1500,2017,31234,black,michigan
146,6800,dodge,doors,2018,36767,gray,florida
147,33300,cadillac,esv,2015,57932,gray,washington
148,10780,dodge,mpv,2018,19420,white,florida
149,6700,ford,cutaway,2014,204155,beige,pennsylvania
150,20000,chevrolet,1500,2016,93493,white,washington
151,6440,chrysler,doors,2018,20942,gray,florida
152,19900,ford,door,2016,86826,gray,south carolina
153,37000,chevrolet,door,2015,45787,white,washington
154,4040,dodge,mpv,2018,50765,red,florida
155,22300,ford,explorer,2016,62774,black,south carolina
156,31200,chevrolet,door,2011,76326,gray,washington
157,4290,dodge,mpv,2018,39029,white,florida
158,22800,ford,el,2016,72885,silver,south carolina
159,19002,cadillac,door,2016,46467,white,michigan
160,4160,dodge,mpv,2018,6743,gray,florida
161,18500,ford,edge,2016,33514,white,south carolina
162,39000,bmw,series,2016,39917,blue,michigan
163,6060,dodge,doors,2018,32504,black,florida
164,28800,ford,door,2016,77638,white,south carolina
165,40000,bmw,series,2016,31727,gray,michigan
166,6140,dodge,doors,2018,52966,silver,florida
167,21000,ford,flex,2016,24157,gray,south carolina
168,20105,buick,door,2016,51393,beige,michigan
169,6760,dodge,doors,2018,35461,white,florida
170,25800,ford,door,2014,47055,brown,pennsylvania
171,39000,bmw,series,2016,33110,black,michigan
172,5470,dodge,mpv,2018,39721,black,florida
173,14600,ford,door,2014,75785,black,pennsylvania
174,24502,chevrolet,1500,2016,33624,black,michigan
175,15110,ford,door,2017,42289,white,texas
176,7900,ford,door,2014,79422,white,new york
177,27305,chevrolet,door,2016,28844,blue,michigan
178,15290,ford,door,2017,66582,white,texas
179,26500,ford,door,2015,61436,silver,south carolina
180,25502,chevrolet,door,2016,58303,silver,michigan
181,7320,ford,mpv,2017,55618,white,texas
182,3800,chevrolet,van,2009,261648,white,michigan
183,24502,chevrolet,door,2016,33045,white,michigan
184,4140,ford,door,2017,40747,white,texas
185,1400,dodge,pk,2002,185460,black,michigan
186,18402,cadillac,srx,2016,26667,gray,michigan
187,4160,ford,door,2017,37176,white,texas
188,175,chrysler,door,2000,231240,red,north carolina
189,24503,chevrolet,colorado,2016,18006,brown,michigan
190,15840,ford,door,2017,72445,white,texas
191,20500,ford,door,2014,123355,black,south carolina
192,21003,chevrolet,1500,2016,44116,silver,michigan
193,4200,ford,door,2017,60219,red,texas
194,17400,ford,door,2011,135077,red,georgia
195,32001,chevrolet,door,2016,32058,black,michigan
196,0,ford,mpv,2017,76858,white,texas
197,15700,ford,cab,2011,309564,white,south carolina
198,31009,chevrolet,door,2016,33928,white,michigan
199,3740,ford,wagon,2017,90618,white,texas
200,5000,dodge,pickup,2001,109360,white,georgia
201,31002,chevrolet,door,2016,71809,white,michigan
202,3160,ford,doors,2017,31563,gray,texas
203,8600,dodge,pickup,2005,219823,gray,south carolina
204,6000,chevrolet,malibu,2018,42090,gray,texas
205,12990,ford,door,2017,126523,white,texas
206,25,chevrolet,vehicl,2020,7232,black,kentucky
207,13200,buick,encore,2017,60171,black,texas
208,4410,ford,wagon,2017,209915,white,texas
209,25,chrysler,door,2005,151815,silver,massachusetts
210,22500,chevrolet,camaro,2020,13826,green,georgia
211,7420,ford,mpv,2017,55854,white,texas
212,13500,ford,door,2016,45757,silver,arizona
213,15500,chevrolet,trax,2020,16545,white,georgia
214,3540,ford,door,2017,112893,white,texas
215,17000,ford,door,2016,126802,no_color,florida
216,45500,chevrolet,tahoe,2020,13303,white,georgia
217,4130,ford,door,2017,34061,silver,texas
218,15700,ford,door,2015,70251,white,arizona
219,45500,chevrolet,tahoe,2020,13679,gray,georgia
220,4130,ford,doors,2017,42426,gray,texas
221,15500,dodge,door,2012,66452,black,pennsylvania
222,16300,chevrolet,trax,2020,18221,white,georgia
223,4530,ford,mpv,2017,41455,white,texas
224,15600,dodge,door,2011,35275,black,pennsylvania
225,45500,chevrolet,tahoe,2020,13885,white,georgia
226,4100,ford,door,2017,38815,gray,texas
227,18200,dodge,door,2011,162281,white,pennsylvania
228,10200,chevrolet,door,2013,56479,black,texas
229,4080,ford,doors,2017,61027,black,texas
230,5700,ford,van,2014,178703,white,florida
231,10200,chevrolet,3500,2014,173469,white,texas
232,5000,ford,door,2017,37321,white,texas
233,1700,ford,door,2014,112789,white,florida
234,6200,bmw,door,2011,80394,gray,texas
235,3650,ford,door,2016,68142,white,texas
236,10500,dodge,door,2014,74203,white,arizona
237,43500,chevrolet,2500,2018,57604,white,georgia
238,4610,dodge,van,2016,87229,silver,texas
239,3450,ford,door,2012,90711,white,florida
240,38500,chevrolet,suburban,2018,11135,silver,georgia
241,6810,ford,mpv,2016,66781,silver,texas
